تَصَابَى	-	متعدي	الثلاثي المزيد بحرفين الناقص الواوي	صبي
اِنْتَجَى	-	متعدي	الثلاثي المزيد بحرفين الناقص الواوي	نجي
اِسْتَعْيَا	-	متعدي	الثلاثي المزيد بثلاثة أحرف الناقص اليائي	عيي
رَمَى	كسرة	متعدي	الثلاثي المجرد الناقص اليائي	رمي
رَعَى	فتحة	متعدي	الثلاثي المجرد الناقص اليائي	رعي
نَسِيَ	فتحة	متعدي	الثلاثي المجرد الناقص اليائي 	نسي
أَرَّ	كسرة	متعدي	الثلاثي المجرد الصحيح المهموز الفاء المضعف	ءرر
أَنَّ	كسرة	متعدي	الثلاثي المجرد الصحيح المهموز الفاء المضعف	ءنن
أَتَّ	ضمة	متعدي	الثلاثي المجرد الصحيح المهموز الفاء المضعف	ءتت
أَضَّ	فتحة	متعدي	الثلاثي المجرد الصحيح المهموز الفاء المضعف	ءضض
آضَّ	-	متعدي	الثلاثي المزيد بحرف الصحيح المهموز الفاء المضعف فَاعَلَ - يُفَاعِلُ	ءضض
اِئْتَضَّ	-	متعدي	اِفْتَعَلَ - يَفْتَعِلُ الثلاثي المزيد بحرفين الصحيح المهموز الفاء المضعف	ءضض
اِسْتَأَبَّ	-	متعدي	اِسْتَفْعَلَ - يَسْتَفْعِلُ الثلاثي المزيد بثلاثة أحرف الصحيح المهموز الفاء المضعف	ءبب
وَجَّ	ضمة	متعدي	يَوُجُّ فَعَلَ - يَفْعُلُ الثلاثي المجرد المثال الواوي المضعف	وجج
وَدَّ	ضمة	متعدي	يَوَدُّ فَعِلَ - يَفْعَلُ الثلاثي المجرد المثال الواوي المضعف	ودد
حَيَّ	فتحة	متعدي	يَحَيُّ فَعِلَ - يَفْعَلُ الثلاثي المجرد الأجوف اليائي الناقص اليائي المضعف	حيي
أَبَأَ	فتحة	متعدي	فَعَلَ - يَفْعَلُ الثلاثي المجرد الصحيح المهموز الفاء واللام	ءبء
آدَ	ضمة	متعدي	يَؤُودُ فَعَلَ - يَفْعُلُ الثلاثي المجرد المهموز الفاء الأجوف الواوي	ءود
اِنْآدَ	-	لازم	يَنْآدُ اِنْفَعَلَ - يَنْفَعِلُ الثلاثي المزيد بحرفين المهموز الفاء الأجوف الواوي	ءود
اِئْتَامَ	-	متعدي	يَاْتَامُ اِفْتَعَلَ - يَفْتَعِلُ الثلاثي المزيد بحرفين المهموز الفاء الأجوف الواوي	ءوم
اِسْتَآسَ	-	متعدي	-	ءوس
آسَ	كسرة	متعدي	-	ءيس
أَبَا	ضمة	متعدى	-	ءبو
أَمُوَ	ضمة	لازم	-	ءمو
أَسَّى	-	متعدي	-	ءسو
آخَى	-	متعدي	-	ءخو
آوَى	-	متعدي	يُؤْوِي أَفْعَلَ - يُفْعِلُ الثلاثي المزيد بحرف المهموز الفاء اللأجوف الواوي الناقص الواوي	ءوي
آتَى	-	متعدي	-	ءتي
تَأَخَّى	-	متعدي	-	ءخو
تَآخَى	-	متعدي	-	ءخو
اِئْتَلَى	-	متعدي	-	ءلو
اِسْتَأْوَى	-	متعدي	-	ءوي
أَوَى	كسرة	متعدي	-	ءوي
أَبَى	فتحة	متعدي	-	ءبي
أَسِيَ	فتحة	متعدي	-	ءسي
أَسِيَ	فتحة	متعدي	-	ءسي
وَأَرَ	كسرة	متعدي	-	وءر
وَأَمَ	فتحة	متعدي	-	وءم
وَئِبَ	فتحة	لازم	-	وءب
أَيْأَسُ	-	متعدي	-	ءيس
شَآ	ضمة	لازم	-	شءو
شَاءَى	-	متعدي	 - يُشَائِي فَاعَلَ - يُفَاعِلُ الثلاثي المزيد بحرف المهموز العين الناقص الواوي	شءو
تَشَاءَى	-	متعدي	-	شءو
وَأَى	كسرة	متعدي	 - يَئِي فَعَلَ - يَفْعِلُ الثلاثي المجرد المهموز العين اللفيف المفروق	وءي
اِرْتَأَى	-	متعدي	 - يَرْتَئِي اِفْتَعَلَ - يَفْتَعِلُ  الثلاثي المزيد بحرفين المهموز العين الناقص اليائي	رءي
اِسْتَوْأَى	-	متعدي	 - يَسْتَوْئِي اِسْتَفْعَلَ - يَسْتَفْعِلُ لثلاثي المزيد بثلاثة أحرف المهموز العين اللفيف المفروق	وءي
جَأَى	فتحة	متعدي	 - يَجْأَى فَعَلَ - يَفْعَلُ لثلاثي المجرد المهموز العين الناقص اليائي	جءي
ثَئِيَ	كسرة	متعدي	 - يَثْأَى فَعِلَ - يَفْعَلُ الثلاثي المجرد المهموز العين الناقص اليائي	ثءي
رَأَى	فتحة	متعدي	 - يَرَى فَعَلَ - يَفْعَلُ الثلاثي المجرد المهموز العين الناقص اليائي	رءي
رَأَّى	-	متعدي	 - يُرَئِّي فَعَّلَ - يُفَعِّلُ الثلاثي المزيد بحرف المهموز العين الناقص اليائي	رءي
أَنْأَى	-	متعدي	 - يُنْئِي أَفْعَلَ - يُفْعِلُ الثلاثي المزيد بحرف المهموز العين الناقص اليائي	نءي
أَرَى	-	متعدي	-	رءي
تَرَأَّى	-	متعدي	-	رءي
وَجَأَ	فتحة	متعدي	-	وجء
وَبَأَ	فتحة	متعدي	-	وبء
وَطِئَ	فتحة	متعدي	-	وطء
وَبِئَ	فتحة	متعدي	-	وبء
سَاءَ	ضمة	متعدي	-	سوء
أَسَاءَ	-	متعدي	-	سوء
اِسْتَاءَ	-	لازم	-	سوء
اِسْتَنَاءَ	-	متعدي	-	سوء
جَاءَ	كسرة	متعدي	-	جوء
شَاءَ	فتحة	لازم	-	شوء
وَقَى	كسرة	لازم	-	وقي
وَجِيَ	فتحة	متعدي	-	وجي
وَلِيَ	كسرة	متعدي	-	ولي
طمْأَنَ	-	متعدي	-	طمءن
بَأْبَأَ	-	متعدي	-	بءبء
تَكَأْكَأَ	-	متعدي	-	بءبء
